player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
275218,Augusto Batalla,Rayo Vallecano,29.0,Goalkeeper,6000.0,Argentina,1.86,Hernan Berman,right,2025.0
397676,Dani Cárdenas,Rayo Vallecano,28.0,Goalkeeper,1800.0,Spain,1.86,Niagara Sports ...,right,2027.0
493513,Karl Hein,Real Valladolid,23.0,Goalkeeper,3000.0,Estonia,1.93,Wasserman,right,2025.0
290346,André Ferreira,Real Valladolid,28.0,Goalkeeper,800.0,Portugal,1.93,,right,2027.0
251892,Juan Soriano,CD Leganés,27.0,Goalkeeper,1200.0,Spain,1.85,RR-Soccer ...,right,2027.0
94308,Marko Dmitrovic,CD Leganés,33.0,Goalkeeper,800.0,Serbia,1.89,,left,2025.0
367464,Luís Maximiano,UD Almería,26.0,Goalkeeper,4000.0,Portugal,1.9,AS1,both,2029.0
81997,Fernando Martínez,UD Almería,34.0,Goalkeeper,400.0,Spain,1.83,,right,2025.0
379548,Jokin Ezkieta,Racing,28.0,Goalkeeper,2500.0,Spain,1.93,,right,2027.0
242301,Miquel Parera,Racing,29.0,Goalkeeper,700.0,Spain,1.82,LIAN Sports Group,right,2025.0
396337,Miguel San Román,Elche CF,27.0,Goalkeeper,600.0,Spain,1.87,,right,2025.0
144128,Matías Dituro,Elche CF,38.0,Goalkeeper,200.0,Argentina,1.91,Vibra Futbol,right,2025.0
283489,Luca Zidane,Granada CF,27.0,Goalkeeper,1500.0,France,1.83,,right,2027.0
129374,Marc Martínez,Granada CF,35.0,Goalkeeper,300.0,Spain,1.86,,right,2025.0
59349,Diego Mariño,Granada CF,35.0,Goalkeeper,300.0,Spain,1.85,,right,2025.0
284430,Aarón Escandell,Real Oviedo,29.0,Goalkeeper,1000.0,Spain,1.84,,right,2026.0
390942,Quentin Braat,Real Oviedo,27.0,Goalkeeper,500.0,France,1.94,,right,2025.0
344591,Gaëtan Poussin,Real Zaragoza,26.0,Goalkeeper,800.0,France,1.86,Kemari,right,2026.0
455363,Joan Femenías,Real Zaragoza,28.0,Goalkeeper,500.0,Spain,1.89,Goal Management,right,2026.0
246335,Rubén Yáñez,Sporting Gijón,31.0,Goalkeeper,1800.0,Spain,1.88,Niagara Sports ...,right,2026.0
531373,Christian Joel,Sporting Gijón,25.0,Goalkeeper,800.0,Cuba,1.93,,left,2026.0
57522,Andrés Fernández,Levante,38.0,Goalkeeper,300.0,Spain,1.85,,right,2025.0
