player_id,name,player_club,age,position,goalkeeper_or_not,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals_conceded,clean_sheet,crawl_timestamp,source
273904,Leon Jensen,Karlsruher SC,28.0,Central Midfield,0,1000.0,Germany,1.75,CAA Stellar,both,2025.0,32.0,1.63,4.0,2.0,0,4.0,21.0,11.0,0,0,0,604.0,2.417,0.0,0.0,1748224814347,https://www.transfermarkt.com/leon-jensen/profil/spieler/273904
571310,Valgeir Lunddal,F. Düsseldorf,23.0,Right-Back,0,1500.0,Iceland,1.91,CAA Stellar,right,2028.0,26.0,1.5,0.0,2.0,1.0,8.0,17.0,4.0,0,0,0,0.0,1.507,0.0,0.0,1748224816135,https://www.transfermarkt.com/valgeir-lunddal/profil/spieler/571310
906315,Hugo Cuenca,Genoa,20.0,Attacking Midfield,0,300.0,Paraguay,1.83,None,left,-,11.0,1.09,0.0,0,0,2.0,7.0,2.0,0,0,0,0.0,738.0,0.0,0.0,1748224828280,https://www.transfermarkt.com/hugo-cuenca/profil/spieler/906315
818448,Alessandro Marcandalli,Venezia,22.0,Centre-Back,0,2000.0,Italy,1.9,None,right,2025.0,10.0,0.9,0.0,0,0,4.0,6.0,2.0,0,0,0,0.0,402.0,0.0,0.0,1748224840444,https://www.transfermarkt.com/alessandro-marcandalli/profil/spieler/818448
469050,Nathan Collins,Brentford,24.0,Centre-Back,0,28000.0,Ireland,1.93,None,right,2029.0,42.0,1.48,2.0,5.0,0,2.0,0.0,6.0,0,0,0,1.818,3.635,0.0,0.0,1748224843759,https://www.transfermarkt.com/nathan-collins/profil/spieler/469050
854932,Josh Seary,Preston,20.0,Right-Back,0,100.0,Ireland,1.8,Wasserman,right,2025.0,8.0,1.25,0.0,1.0,0,1.0,3.0,1.0,0,0,0,0.0,522.0,0.0,0.0,1748224846693,https://www.transfermarkt.com/josh-seary/profil/spieler/854932
255626,Conor Shaughnessy,Portsmouth,28.0,Centre-Back,0,800.0,Ireland,1.91,None,right,2027.0,9.0,1.22,1.0,0,0,2.0,5.0,2.0,0,0,0,515.0,515.0,0.0,0.0,1748224849460,https://www.transfermarkt.com/conor-shaughnessy/profil/spieler/255626
199971,Michele Cavion,Carrarese,30.0,Central Midfield,0,200.0,Italy,1.8,None,both,2025.0,3.0,2.33,0.0,0,0,2.0,1.0,0.0,0,0,0,0.0,83.0,0.0,0.0,1748224851728,https://www.transfermarkt.com/michele-cavion/profil/spieler/199971
631007,Filippo Terracciano,AC Milan,22.0,Right-Back,0,4500.0,Italy,1.86,None,right,2028.0,17.0,1.94,0.0,0,0,10.0,2.0,4.0,0,0,0,0.0,692.0,0.0,0.0,1748224891371,https://www.transfermarkt.com/filippo-terracciano/profil/spieler/631007
863741,Nathan Fraser,Wolves,20.0,Centre-Forward,0,600.0,Ireland,1.88,None,right,2028.0,7.0,2.29,0.0,0,0,5.0,2.0,0.0,0,0,0,0.0,185.0,0.0,0.0,1748224893417,https://www.transfermarkt.com/nathan-fraser/profil/spieler/863741
949477,Jacob Farrell,Portsmouth,22.0,Left-Back,0,500.0,Australia,1.8,Republic Sports Mgt,left,2028.0,1.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,90.0,0.0,0.0,1748224905297,https://www.transfermarkt.com/jacob-farrell/profil/spieler/949477
163744,Jack Stephens,Southampton,31.0,Centre-Back,0,2000.0,England,1.85,CAA Stellar,right,2025.0,19.0,0.53,1.0,0,0,2.0,4.0,2.0,0,2.0,0,1.394,1.394,0.0,0.0,1748224918558,https://www.transfermarkt.com/jack-stephens/profil/spieler/163744
125614,Sargis Adamyan,J. Regensburg,32.0,Centre-Forward,0,450.0,Armenia,1.84,Karl M. Herzog ...,right,2025.0,23.0,0.96,2.0,0,0,9.0,11.0,5.0,0,0,0,652.0,1.303,0.0,0.0,1748224921293,https://www.transfermarkt.com/sargis-adamyan/profil/spieler/125614
342385,Guido Rodríguez,West Ham,31.0,Defensive Midfield,0,12000.0,Argentina,1.85,None,right,2027.0,24.0,1.5,0.0,1.0,0,8.0,13.0,6.0,0,0,0,0.0,1.185,0.0,0.0,1748224923662,https://www.transfermarkt.com/guido-rodriguez/profil/spieler/342385
333014,Sander Berge,Fulham,27.0,Defensive Midfield,0,25000.0,Norway,1.95,Keypass AS,right,2029.0,36.0,1.53,0.0,0,0,6.0,11.0,6.0,0,0,0,0.0,2.597,0.0,0.0,1748224935773,https://www.transfermarkt.com/sander-berge/profil/spieler/333014
453824,Josh Maja,West Brom,26.0,Centre-Forward,0,10000.0,Nigeria,1.81,None,right,2026.0,26.0,1.54,12.0,2.0,0,0,21.0,2.0,0,0,0,173.0,2.077,0.0,0.0,1748224948735,https://www.transfermarkt.com/josh-maja/profil/spieler/453824
307335,Raphael Odogwu,Südtirol,34.0,Centre-Forward,0,400.0,Italy,1.88,None,left,2025.0,38.0,1.13,5.0,9.0,0,5.0,13.0,3.0,0,0,1.0,580.0,2.902,0.0,0.0,1748224950787,https://www.transfermarkt.com/raphael-odogwu/profil/spieler/307335
315865,Andrea Pinamonti,Genoa,26.0,Centre-Forward,0,16000.0,Italy,1.85,Team Raiola,right,2025.0,37.0,1.05,11.0,1.0,0,3.0,14.0,4.0,0,0,0,267.0,2.94,0.0,0.0,1748224963340,https://www.transfermarkt.com/andrea-pinamonti/profil/spieler/315865
119269,Shane Duffy,Norwich,33.0,Centre-Back,0,800.0,Ireland,1.93,None,right,2026.0,47.0,1.26,4.0,0,0,2.0,2.0,4.0,0,0,0,1.015,4.061,0.0,0.0,1748224965639,https://www.transfermarkt.com/shane-duffy/profil/spieler/119269
82873,Pascal Groß,Bor. Dortmund,33.0,Central Midfield,0,7000.0,Germany,1.81,Excellence Sport,right,2026.0,45.0,1.78,1.0,15.0,0,5.0,17.0,8.0,0,1.0,0,3.464,3.464,0.0,0.0,1748224968443,https://www.transfermarkt.com/pascal-gross/profil/spieler/82873
922693,Archie Gray,Tottenham,19.0,Centre-Back,0,35000.0,England,1.87,None,right,2030.0,46.0,1.5,0.0,0,1.0,11.0,3.0,2.0,0,0,0,0.0,3.244,0.0,0.0,1748224972042,https://www.transfermarkt.com/archie-gray/profil/spieler/922693
919703,Vitalie Becker,FC Schalke 04,20.0,Left-Back,0,100.0,Germany,1.79,None,left,2027.0,16.0,1.44,1.0,2.0,0,0,2.0,2.0,1.0,0,0,1.413,1.413,0.0,0.0,1748224974529,https://www.transfermarkt.com/vitalie-becker/profil/spieler/919703
392768,Callum Hudson-Odoi,Forest,24.0,Left Winger,0,24000.0,England,1.78,None,right,2026.0,36.0,1.75,5.0,3.0,0,9.0,17.0,2.0,0,0,0,502.0,2.511,0.0,0.0,1748224988163,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768
401578,Exequiel Palacios,B. Leverkusen,26.0,Central Midfield,0,40000.0,Argentina,1.78,Eleven Talent Group,right,2028.0,38.0,1.92,1.0,6.0,0,15.0,11.0,2.0,0,0,0,2.123,2.123,0.0,0.0,1748224990433,https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578
363205,Gabriel Jesus,Arsenal,28.0,Centre-Forward,0,40000.0,Brazil,1.75,Energy Sports,right,2027.0,27.0,1.93,7.0,2.0,0,14.0,8.0,4.0,0,0,0,172.0,1.204,0.0,0.0,1748224992110,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205
950091,Stefanos Tzimas,1.FC Nuremberg,19.0,Centre-Forward,0,22000.0,Greece,1.86,SEG,both,2025.0,24.0,1.58,12.0,3.0,0,4.0,12.0,5.0,0,1.0,0,149.0,1.793,0.0,0.0,1748225004287,https://www.transfermarkt.com/stefanos-tzimas/profil/spieler/950091
